id,capability,current_owner,language_process,entry_and_visible_result,inputs_outputs_storage,runtime_geometry,contract_authority,decision,score,evidence,baseline_status,child_ticket
MC-01,Statistical primitives and gates,signal-discovery statistical services,TypeScript Electron Main,Discovery request to persisted gate verdict,Evaluation arrays to SQLite envelopes,Electron plus C++ hosts,Split TS and executor math,migrate,18,TICKET_1292 section 8.1,fixture capture pending,TICKET_1292_01
MC-02,BH family verdict,statistical-filters and family-bh,TypeScript Electron Main,Discovery family to adjusted verdict,Raw p-values and SQLite scope,Electron plus sd_round3_host,TypeScript family scope,migrate,17,TICKET_1292 section 8.1,fixture capture pending,TICKET_1292_02
MC-03,Portfolio and factor outcome math,factor portfolio and fusion services,TypeScript Electron Main,Factor evaluation to portfolio result,Signals returns costs and metrics,Electron plus executor,Split TS and C++ math,migrate,19,TICKET_1292 section 8.1,fixture capture pending,TICKET_1292_03
MC-04,Canonical signal construction,canonical adapters and outcome merge,TypeScript Electron Main,C++ host result to scoreboard envelope,Per-bar arrays to SQLite and Parquet,Electron plus C++ hosts,SignalOutputRow and envelope split,migrate,18,TICKET_1292 section 8.1,golden capture pending,TICKET_1292_04
MC-05,Scoreboard computation,nona_algorithm.scoreboard,Python child supervised by Electron,Scoreboard queue to persisted score,Signal artifact and forward returns,One Python child per job,Python CLI JSON and SQLite schema,migrate,20,scoreboard/job-queue.ts launches Python,representative run requires authorization,TICKET_1292_05
MC-06,Promotion evaluation and gates,nona_algorithm.promotion,Python child supervised by Electron,Promotion command to audit and stage result,Registry artifacts metrics and logs,Python CLI child,Python CLI and registry schema,migrate,18,promotion-cli.ts,representative run requires authorization,TICKET_1292_06
MC-07,Production Arrow and Parquet data plane,C++ eval Parquet owner with TS and Python process adapters,C++23 library plus packaged executor command,Evaluation request to typed artifact,Canonical score forward return and eval-cache Parquet,Existing executor command reused,qnx.eval-parquet/1.0.0,migrate-implemented-live-ac-pending,21,TICKET_1292 section 8.1,single-owner tests pass; storage byte and cold-warm production baseline pending,TICKET_1292_07
MC-08,Production factor evaluation,nona_algorithm signal sources plus executor,Python and C++,Accepted factor to canonical evaluation,Bars factor code and output arrays,Python fallback and C++ hosts,Generated dispatch and Python fallback,migrate,20,TICKET_1292 section 8.1,parity corpus pending,TICKET_1292_08
MC-09,Strategy integrity and audit,builder Python tools launched by Electron,Python child supervised by Electron,Generated C++ to diagnostics,Strategy source and structured findings,Two helper subprocesses,Python validators versus compiler ABI gate,migrate,17,strategy-code-integrity.ts and strategy-audit.ts,golden diagnostics pending,TICKET_1292_09
MC-10,Resource governance,C++ resource_governance owner with Python TS shell consumers,C++ executor command with sampling in callers,Settings to admission and enforcement,CPU memory cgroup and telemetry,Workers ranks threads and cgroups,C++ single owner,migrate,16,TICKET_1292 section 8.2 golden parity resource_governance_parity_v1,code_implemented live pending,TICKET_1292_10
